Abbreviation,Name,Reaction,GPR,Genes,Protein,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence score,E.C. number,Notes,References
rxn00216,ATP:D-glucose 6-phosphotransferase,[c] : atp + glc-D => adp + g6p,,A2438,,,0,,,0,2,2.7.1.1|2.7.1.2,http://www.ncbi.nlm.nih.gov/pubmed/16748250,
rxn00224,Protoporphyrin ferro-lyase,[c] : ppp9 + fe2 => pheme + 2 h,A2589 (HemH),A2589,HemH,Porphyrin and Chlorophyll Metabolism,0,,,0,2,4.99.1.1,http://www.ncbi.nlm.nih.gov/pubmed/3805002,
rxn00237,ATP:nucleoside-diphosphate phosphatransferase,[c] : atp + gdp <=> adp + gtp,,A0814,,,1,,,0,2,2.7.4.6,http://www.ncbi.nlm.nih.gov/pubmed/13211603,
DGK1,ATP:(d)GMP phosphotransferase,[c] : atp + gmp <=> adp + gdp,Gmk (A1846) ,A1846,Gmk,Nucleotides and nucleic acids,1,,,0,2,2.7.4.8,http://www.ncbi.nlm.nih.gov/pubmed/4307347,
rxn00242,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",[c] : h2o + gdpdp <=> ppi + gdp,,does not have this gene,,,1,,,0,2,3.1.7.2,http://www.ncbi.nlm.nih.gov/pubmed/365225,
rxn00248,(S)-malate:NAD+ oxidoreductase,[c] : nad + mal-L <=> nadh + oaa + h,,A2093,,,1,,,0,2,1.1.1.37,http://www.ncbi.nlm.nih.gov/pubmed/5637713,
rxn00251,Orthophosphate:oxaloacetate carboxyl-lyase (phosphorylating),[c] : h2o + co2 + pep => pi + oaa + 2 h,,A1414,,,0,,,0,2,4.1.1.31,http://www.ncbi.nlm.nih.gov/pubmed/5501374,
rxn00256,Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- -> acetyl-CoA),[c] : coa + h + cit <=> h2o + accoa + oaa,,???,,,1,,,0,2,4.1.3.7,http://www.ncbi.nlm.nih.gov/pubmed/4974734,
rxn00260,L-Aspartate:2-oxoglutarate aminotransferase,[c] : akg + asp-L <=> glu-L + oaa,,A0512,,,1,,,0,2,2.6.1.1,http://www.ncbi.nlm.nih.gov/pubmed/5758538,
ASPO,L-Aspartic acid:oxygen oxidoreductase (deaminating),[c] : h2o + o2 + asp-L => nh4 + h2o2 + oaa,NadB (A0301) ,A0301,NadB,Amino Acid Metabolism,0,,,0,2,1.4.3.2|1.4.3.16,http://www.ncbi.nlm.nih.gov/pubmed/13843884,
rxn00269,Aminoacetic acid:oxygen oxidoreductase (deaminating),[c] : h2o + o2 + gly => nh4 + h2o2 + glx,,???,,,0,,,0,2,1.4.3.3|1.4.3.19,http://www.ncbi.nlm.nih.gov/pubmed/14314378,
rxn00272,L-Alanine:glyoxylate aminotransferase,[c] : ala-L + glx => pyr + gly,,A0177,,,0,,,0,2,2.6.1.44,http://www.ncbi.nlm.nih.gov/pubmed/629740,
rxn00283,L-Alanine racemase,[c] : ala-L <=> ala-D,,A2489,,,1,,,0,2,5.1.1.1,http://www.ncbi.nlm.nih.gov/pubmed/13159289,
rxn00285,Succinate:CoA ligase (ADP-forming),[c] : atp + coa + succ <=> adp + pi + succoa,,A0890,,,1,,,0,2,6.2.1.5|6.2.1.4,http://www.ncbi.nlm.nih.gov/pubmed/13252015,
rxn00288,Succinate:(acceptor) oxidoreductase,[c] : fad + succ <=> fum + fadh2,,A1094,,,1,,,0,2,1.3.99.1,http://www.ncbi.nlm.nih.gov/pubmed/13385208,
rxn00292,UDP-N-acetyl-D-glucosamine 2-epimerase,[c] : h2o + uacgam => udp + acmana,,A1214,,,0,,,0,2,5.1.3.14,http://www.ncbi.nlm.nih.gov/pubmed/4770741,
rxn00293,UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase,[c] : utp + acgam1p => ppi + uacgam,,A2633,,,0,,,0,2,2.7.7.23,http://www.ncbi.nlm.nih.gov/pubmed/13733356,
rxn00295,UDP-N-acetyl-D-glucosamine 4-epimerase,[c] : uacgam => uacgala,,does not have this gene,,,0,,,0,2,5.1.3.7,http://www.ncbi.nlm.nih.gov/pubmed/13828347,
rxn00297,UDP-N-acetyl-D-glucosamine 2-epimerase,[c] : uacgam => uacmam,,A1214,,,0,,,0,2,5.1.3.14,http://www.ncbi.nlm.nih.gov/pubmed/4770741,
rxn00299,"GTP 7,8-8,9-dihydrolase",[c] : h2o + gtp => for + h + ahdt,,A2444,,,0,,,0,2,3.5.4.16,http://www.ncbi.nlm.nih.gov/pubmed/4296838,
rxn00300,"GTP 7,8-8,9-dihydrolase (pyrophosphate-forming)",[c] : 3 h2o + gtp => ppi + for + h + 25drapp,,A0427,,,0,,,0,2,3.5.4.25,http://www.ncbi.nlm.nih.gov/pubmed/235552,
rxn00301,Guanosine 5'-triphosphate pyrophosphohydrolase,[c] : h2o + gtp => ppi + gmp,IxpP (A0601) ,A0601,IxpP,Nucleotide Metabolism,0,,,0,2,3.6.1.8|3.6.1.19,http://www.ncbi.nlm.nih.gov/pubmed/13061448,
rxn00302,"GTP 7,8-8,9-dihydrolase",[c] : h2o + gtp => Formamidopyrimidine nucleoside triphosphate,,A2444,,,0,,,0,2,3.5.4.16,http://www.ncbi.nlm.nih.gov/pubmed/4296838,
rxn00303,ATP:GTP 3'-pyrophosphotransferase,[c] : atp + gtp => amp + gdptp,,does not have this gene,,,0,,,0,2,2.7.6.5,http://www.ncbi.nlm.nih.gov/pubmed/6161916,
rxn00313,"meso-2,6-Diaminoheptanedioate carboxy-lyase",[c] : h + 26dap-M => co2 + lys-L,,A0097,,,0,,,0,2,4.1.1.20,http://www.ncbi.nlm.nih.gov/pubmed/14378182,
rxn00322,L-Lysine carboxy-lyase,[c] : lys-L + h => co2 + 15dap,,could not find the pathway,,,0,,,0,2,4.1.1.18,http://www.ncbi.nlm.nih.gov/pubmed/16747785,
rxn00328,4-Hydroxy-2-oxoglutarate glyoxylate-lyase,[c] : 4h2oglt => pyr + glx,,A0130|A0130,,,0,,,0,2,4.1.3.16|4.1.1.3|4.1.2.14,http://www.ncbi.nlm.nih.gov/pubmed/14089442,
rxn00333,(S)-2-Hydroxy-acid:oxygen 2-oxidoreductase,[c] : o2 + glyclt => h2o2 + glx,,A0710,,,0,,,0,2,1.1.3.15,http://www.ncbi.nlm.nih.gov/pubmed/13538955,
rxn00337,ATP:L-aspartate 4-phosphotransferase,[c] : atp + asp-L + h <=> adp + 4pasp,,A1267,,,1,,,0,2,2.7.2.4,http://www.ncbi.nlm.nih.gov/pubmed/6058940,
ASPO,L-aspartate oxidase,[c] : o2 + asp-L => h2o2 + h + iasp,NadB (A0301) ,A0301,NadB,Amino Acid Metabolism,0,,,0,2,1.4.3.16,http://www.ncbi.nlm.nih.gov/pubmed/7033218,
rxn00342,L-Asparagine amidohydrolase,[c] : h2o + asn-L => nh4 + asp-L,,A0824,,,0,,,0,2,3.5.1.1|3.5.1.38,http://www.ncbi.nlm.nih.gov/pubmed/13426090,
rxn00346,L-Aspartate 1-carboxy-lyase,[c] : asp-L + h => co2 + ala-B,,A2530,,,0,,,0,2,4.1.1.11|4.1.1.15,http://www.ncbi.nlm.nih.gov/pubmed/381298,
rxn00350,glutathione hydralase (periplasmic),[c] : h2o + gthrd <=> glu-L + cgly,,???,,,1,,,0,2,2.3.2.2|3.4.11.4,http://www.ncbi.nlm.nih.gov/pubmed/6030345,
rxn00351,gamma-L-Glutamyl-L-cysteine:glycine ligase (ADP-forming),[c] : atp + gly + glucys => adp + pi + gthrd + h,,A1147,,,0,,,0,2,6.3.2.3,,
rxn00361,ATP:adenylylsulfate 3'-phosphotransferase,[c] : atp + aps => adp + paps,,A1494,,,0,,,0,2,2.7.1.25,http://www.ncbi.nlm.nih.gov/pubmed/13502346,
rxn00363,Cytidine-5'-monophosphate phosphohydrolase,[c] : h2o + cmp => pi + h + Cytidine,,A0492,,,0,,,0,2,3.1.3.5|3.1.3.5),http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn00379,ATP:sulfate adenylyltransferase,[c] : atp + so4 + h => ppi + aps,,A1344,,,0,,,0,2,2.7.7.4,http://www.ncbi.nlm.nih.gov/pubmed/16589765,
rxn00392,ATP:riboflavin 5'-phosphotransferase,[c] : atp + ribflv => adp + fmn,,A2398,,,0,,,0,2,2.7.1.26,http://www.ncbi.nlm.nih.gov/pubmed/14284745,
rxn00405,L-Arginine carboxy-lyase,[c] : arg-L + h => co2 + agm,,A1808,,,0,,,0,2,4.1.1.19,http://www.ncbi.nlm.nih.gov/pubmed/4870599,
rxn00407,CTP aminohydrolase,[c] : h2o + ctp + h => nh4 + utp,,A1310,,,0,,,0,2,3.5.4.13,http://www.ncbi.nlm.nih.gov/pubmed/4976547,
rxn00410,UTP:ammonia ligase(ADP-forming),[c] : atp + nh4 + utp => adp + pi + ctp + 2 h,,A1420,,,0,,,0,2,6.3.4.2,http://www.ncbi.nlm.nih.gov/pubmed/13367044,
rxn00412,UTP:ammonia ligase(ADP-forming),[c] : h2o + atp + gln-L + utp => adp + pi + glu-L + ctp + 2 h,,A1420,,,0,,,0,2,6.3.4.2,,
rxn00414,"Carbon-dioxide:L-glutamine amido-ligase (ADP-forming,",[c] : h2o + 2 atp + gln-L + hco3 => 2 adp + pi + glu-L + h + cbp,,A2488,,,0,,,0,2,6.3.5.5,http://www.ncbi.nlm.nih.gov/pubmed/5326356,
rxn00422,L-Serine:pyruvate aminotransferase,[c] : pyr + ser-L => ala-L + hpyr,,A0177,,,0,,,0,2,2.6.1.51,http://www.ncbi.nlm.nih.gov/pubmed/5699148,
rxn00423,serine O-acetyltransferase,[c] : accoa + ser-L <=> coa + acser,,A1646,,,1,,,0,2,2.3.1.30,http://www.ncbi.nlm.nih.gov/pubmed/5332668,
rxn00438,ATP:thiamin-phosphate phosphotransferase,[c] : atp + thmmp => adp + thmpp,,A1254,,,0,,,0,2,2.7.4.16,http://www.ncbi.nlm.nih.gov/pubmed/4567662,
rxn00459,2-Phospho-D-glycerate hydro-lyase,[c] : 2pg <=> h2o + pep,,A0073,,,1,,,0,2,4.2.1.11,http://www.ncbi.nlm.nih.gov/pubmed/13908561,
rxn00461,Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine,[c] : uacgam + pep => pi + h + uaccg,,A1105,,,0,,,0,2,2.5.1.7,http://www.ncbi.nlm.nih.gov/pubmed/5699062,
XTPASE,Uridine triphosphate pyrophosphohydrolase,[c] : h2o + utp => ppi + ump,IxpP (A0601) ,A0601,IxpP,Nucleotide Metabolism,0,,,0,2,3.6.1.8|3.6.1.19,http://www.ncbi.nlm.nih.gov/pubmed/13061448,
rxn00474,L-Serine hydro-lyase (adding indoleglycerol-phosphate),[c] : ser-L + indole => h2o + trp-L,,A0296,,,0,,,0,2,4.2.1.20,http://www.ncbi.nlm.nih.gov/pubmed/16590328,
rxn00493,L-Phenylalanine:2-oxoglutarate aminotransferase,[c] : akg + phe-L <=> glu-L + phpyr,,A0511|A0512,,,1,,,0,2,2.6.1.1|2.6.1.5|2.6.1.9|2.6.1.57|2.6.1.58|2.6.1.1 or 2.6.1.9,http://www.ncbi.nlm.nih.gov/pubmed/5758538,
rxn00500,(R)-Lactate:NAD+ oxidoreductase,[c] : nad + lac-D <=> nadh + pyr + h,,G0164,,,1,,,0,2,1.1.1.28,http://www.ncbi.nlm.nih.gov/pubmed/13815938,
rxn00508,Succinate-semialdehyde:NAD+ oxidoreductase,[c] : h2o + nad + sucsal => nadh + succ + 2 h,,A2771,,,0,,,0,2,1.2.1.16|1.2.1.24,http://www.ncbi.nlm.nih.gov/pubmed/13654295,
rxn00509,Succinate-semialdehyde:NADP+ oxidoreductase,[c] : h2o + nadp + sucsal => nadph + succ + 2 h,,A2771,,,0,,,0,2,1.2.1.16,http://www.ncbi.nlm.nih.gov/pubmed/13654295,
XTPASE,Inosine 5'-triphosphate pyrophosphohydrolase,[c] : h2o + itp => ppi + imp,IxpP (A0601) ,A0601,IxpP,Nucleotide Metabolism,0,,,0,2,3.6.1.8|3.6.1.19,http://www.ncbi.nlm.nih.gov/pubmed/13061448,
rxn00515,ATP:nucleoside-diphosphate phosphatransferase,[c] : atp + idp <=> adp + itp,,A0814,,,1,,,0,2,2.7.4.6,http://www.ncbi.nlm.nih.gov/pubmed/13211603,
rxn00525,L-arogenate:NAD+ oxidoreductase,[c] : nad + CPD-659 => nadh + co2 + tyr-L,,A0677,,,0,,,0,2,1.3.1.43|1.3.1.79,http://www.ncbi.nlm.nih.gov/pubmed/4206476,
rxn00526,L-arogenate:NAD+ oxidoreductase,[c] : nadp + CPD-659 => nadph + co2 + tyr-L,,A0677,,,0,,,0,2,1.3.1.43|1.3.1.78|1.3.1.79,,
rxn00527,L-Tyrosine:2-oxoglutarate aminotransferase,[c] : akg + tyr-L <=> glu-L + 34hpp,,A0511|A0512,,,1,,,0,2,2.6.1.1|2.6.1.5|2.6.1.9|2.6.1.57|2.6.1.1 or 2.6.1.9,http://www.ncbi.nlm.nih.gov/pubmed/5758538,
rxn00545,ATP:D-fructose-6-phosphate 1-phosphotransferase,[c] : atp + f6p => adp + fdp,,A0162,,,0,,,0,2,2.7.1.11,http://www.ncbi.nlm.nih.gov/pubmed/12981037,
rxn00547,ATP:D-fructose 6-phosphotransferase,[c] : atp + fru => adp + f6p,,A0886,,,0,,,0,2,2.7.1.1|2.7.1.4,,
rxn00549,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",[c] : h2o + fdp => pi + h + f6p,,A0329,,,0,,,0,2,3.1.3.11,http://www.ncbi.nlm.nih.gov/pubmed/13357486,
rxn00555,L-Glutamine:D-fructose-6-phosphate aminotransferase (hexose,[c] : gln-L + f6p => glu-L + gam6p,,A1150,,,0,,,0,2,2.6.1.16,http://www.ncbi.nlm.nih.gov/pubmed/13827775,
rxn00558,D-Glucose-6-phosphate ketol-isomerase,[c] : g6p <=> f6p,,A0964,,,1,,,0,2,5.3.1.9,http://www.ncbi.nlm.nih.gov/pubmed/13685918,
rxn00559,D-Mannose-6-phosphate ketol-isomerase,[c] : man6p <=> f6p,,A2066,,,1,,,0,2,5.3.1.8,http://www.ncbi.nlm.nih.gov/pubmed/13596383,
rxn00568,ammonium-hydroxide:NADP+ oxidoreductase,[c] : 3 nadh + 5 h + no2 => 2 h2o + 3 nad + nh4,,A1827,,,0,,,0,2,1.7.1.4,http://www.ncbi.nlm.nih.gov/pubmed/6297458,
rxn00577,Sucrose:orthophosphate alpha-D-glucosyltransferase,[c] : pi + h + sucr <=> fru + g1p,,A2022,,,1,,,0,2,2.4.1.7,http://www.ncbi.nlm.nih.gov/pubmed/14783033,
rxn00604,D-Glucose-6-phosphate:NADP+ 1-oxoreductase,[c] : nadp + g6p => nadph + h + 6pgl,,A1459,,,0,,,0,2,1.1.1.49,http://www.ncbi.nlm.nih.gov/pubmed/5363983,
rxn00605,UDPglucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase,[c] : udpg + g6p => udp + tre6p,,does not have this gene,,,0,,,0,2,2.4.1.15,http://www.ncbi.nlm.nih.gov/pubmed/13538966,
rxn00640,GDP:D-mannose-1-phosphate guanylyltransferase,[c] : gdp + man1p => pi + h + gdpmann,,A0008,,,0,,,0,2,2.7.7.22,http://www.ncbi.nlm.nih.gov/pubmed/13876695,
rxn00641,GTP:alpha-D-mannose-1-phosphate guanylyltransferase,[c] : gtp + man1p => ppi + gdpmann,,???,,,0,,,0,2,2.7.7.13,,
rxn00649,O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide),[c] : h2s + acser => ac + h + cys-L,,A0247,,,0,,,0,2,2.5.1.47|2.5.1.65|4.2.99.8,http://www.ncbi.nlm.nih.gov/pubmed/4891157,
rxn00650,membrane alanyl aminopeptidase,[c] : h2o + cgly <=> gly + cys-L,,A0435|A2460,,,1,,,0,2,3.4.11.2|3.4.11.1|3.4.11.23|3.4.13.3,http://www.ncbi.nlm.nih.gov/pubmed/5938934,
rxn00675,Propinol adenylate:CoA ligase (AMP-forming),[c] : coa + Propionyladenylate <=> amp + ppcoa,,A1838,,,1,,,0,2,6.2.1.1|6.2.1.17,http://www.ncbi.nlm.nih.gov/pubmed/12980945,
rxn00686,"5,6,7,8-Tetrahydrofolate:NADP+ oxidoreductase",[c] : nadp + thf <=> nadph + h + dhf,,does not have this gene,,,1,,,0,2,1.5.1.3,http://www.ncbi.nlm.nih.gov/pubmed/6815178,
rxn00689,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming),[c] : atp + glu-L + thf => adp + pi + h + thfglu,,A0401 (???),,,0,,,0,2,6.3.2.17,http://www.ncbi.nlm.nih.gov/pubmed/6458762,
rxn00691,10-Formyltetrahydrofolate amidohydrolase,[c] : h2o + 10fthf => for + h + thf,,A1006,,,0,,,0,2,3.5.1.10,,
rxn00692,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase",[c] : h2o + gly + mlthf <=> ser-L + thf,,A2430,,,1,,,0,2,2.1.2.1,,
rxn00693,5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase,[c] : hcys-L + 5mthf => met-L + thf,,A2466,,,0,,,0,2,2.1.1.13|2.1.1.14,http://www.ncbi.nlm.nih.gov/pubmed/5799642,
rxn00695,ATP:alpha-D-glucose-1-phosphate adenyltransferase,[c] : atp + g1p => ppi + adpglc,,A0095,,,0,,,0,2,2.7.7.27,http://www.ncbi.nlm.nih.gov/pubmed/5922972,
rxn00704,"alpha-D-Glucose 1-phosphate 1,6-phosphomutase",[c] : g1p <=> g6p,,does not have this gene,,,1,,,0,2,5.4.2.2|5.4.2.5,http://www.ncbi.nlm.nih.gov/pubmed/14216423,
rxn00707,ITP:cytidine 5'-phosphotransferase,[c] : itp + Cytidine => cmp + idp,,does not have this gene,,,1,,,0,2,2.7.1.48,http://www.ncbi.nlm.nih.gov/pubmed/5782006,
rxn00708,Uridine 5'-monophosphate phosphohydrolase,[c] : h2o + ump => pi + h + uri,,A0492,,,0,,,0,2,3.1.3.5|3.1.3.5),http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn00710,Orotidine-5'-phosphate carboxy-lyase,[c] : h + orot5p => co2 + ump,,A0547,,,0,,,0,2,4.1.1.23,http://www.ncbi.nlm.nih.gov/pubmed/692383,
rxn00711,UMP:pyrophosphate phosphoribosyltransferase,[c] : ura + prpp => ppi + ump,,A1689,,,0,,,0,2,2.4.2.9,http://www.ncbi.nlm.nih.gov/pubmed/13438895,
rxn00726,Chorismate pyruvate-lyase (amino-accepting),[c] : nh4 + chor => h2o + pyr + h + anth,,A0681,,,0,,,0,2,4.1.3.27,http://www.ncbi.nlm.nih.gov/pubmed/5333199,
rxn00727,Chorismate pyruvate-lyase (amino-accepting),[c] : gln-L + chor => pyr + glu-L + h + anth,,A0681,,,0,,,0,2,4.1.3.27,http://www.ncbi.nlm.nih.gov/pubmed/5333199,
THRD_L,L-threonine ammonia-lyase,[c] : thr-L <=> nh4 + 2obut,IlvA (A1616) ,A1616,IlvA,,1,,,0,2,4.3.1.19,http://www.ncbi.nlm.nih.gov/pubmed/4814721,
rxn00743,Glycerone phosphate phosphohydrolase (alkaline optimum),[c] : h2o + dhap => pi + h + dha,,,,,0,,,0,2,3.1.3.1,http://www.ncbi.nlm.nih.gov/pubmed/13890304,
rxn00747,D-Glyceraldehyde-3-phosphate ketol-isomerase,[c] : g3p <=> dhap,,A0595,,,1,,,0,2,5.3.1.1,,
rxn00758,sn-Glycero-3-phosphocholine glycerophosphohydrolase,[c] : h2o + g3pc => glyc3p + chol,,A2838,,,0,,,0,2,3.1.4.2|3.1.4.46,http://www.ncbi.nlm.nih.gov/pubmed/13315235,
rxn00762,Glycerol:NAD+ oxidoreductase,[c] : nad + glyc <=> nadh + h + dha,,A0605,,,1,,,0,2,1.1.1.6,http://www.ncbi.nlm.nih.gov/pubmed/13069498,
rxn00770,ATP:D-ribose-5-phosphate pyrophosphotransferase,[c] : atp + r5p <=> amp + prpp,,A2726,,,1,,,0,2,2.7.6.1,http://www.ncbi.nlm.nih.gov/pubmed/14944530,
rxn00775,ADPribose ribophosphohydrolase,[c] : h2o + adprib => amp + r5p,,A0122,,,0,,,0,2,3.6.1.13,http://www.ncbi.nlm.nih.gov/pubmed/14028386,
rxn00776,Uracil hydro-lyase (adding D-ribose 5-phosphate),[c] : ura + r5p => h2o + psd5p,,does not have this gene,,,0,,,0,2,4.2.1.70,http://www.ncbi.nlm.nih.gov/pubmed/14165924,
rxn00777,D-Ribose-5-phosphate ketol-isomerase,[c] : r5p <=> ru5p-D,,A1269,,,1,,,0,2,5.3.1.6,http://www.ncbi.nlm.nih.gov/pubmed/13373810,
rxn00784,2-Deoxy-D-ribose-5-phosphate acetaldehyde-lyase,[c] : 2dr5p => acald + g3p,,A0756,,,0,,,0,2,4.1.2.4,http://www.ncbi.nlm.nih.gov/pubmed/4879701,
rxn00785,D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde,[c] : f6p + g3p <=> xu5p-D + e4p,,A1022,,,1,,,0,2,2.2.1.1,http://www.ncbi.nlm.nih.gov/pubmed/14367398,
rxn00786,"D-Fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase",[c] : fdp <=> dhap + g3p,,A0010,,,1,,,0,2,4.1.2.13,http://www.ncbi.nlm.nih.gov/pubmed/2649077,
rxn00789,1-(5-Phospho-D-ribosyl)-ATP:pyrophosphate phosphoribosyl-transferase,[c] : ppi + prbatp <=> atp + prpp,,A0620,,,1,,,0,2,2.4.2.17,http://www.ncbi.nlm.nih.gov/pubmed/13682989,
rxn00790,5-Phosphoribosylamine:pyrophosphate phosphoribosyltransferase,[c] : h2o + gln-L + prpp => ppi + glu-L + pram ,,A0550,,,0,,,0,2,2.4.2.14,http://www.ncbi.nlm.nih.gov/pubmed/14235537,
rxn00791,N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate,[c] : ppi + pran <=> anth + prpp,,A2203,,,1,,,0,2,2.4.2.18,http://www.ncbi.nlm.nih.gov/pubmed/3535653,
rxn00792,Biotin:CoA ligase (AMP-forming),[c] : atp + h + btn => ppi + btamp,,A0084,,,0,,,0,2,6.3.4.15,http://www.ncbi.nlm.nih.gov/pubmed/14257635,
rxn00799,(S)-Malate hydro-lyase,[c] : mal-L <=> h2o + fum,,does not have this gene,,,1,,,0,2,4.2.1.2,http://www.ncbi.nlm.nih.gov/pubmed/14247669,
rxn00800,"N6-(1,2-Dicarboxyethyl)AMP AMP-lyase",[c] : dcamp => amp + fum,,A2653,,,0,,,0,2,4.3.2.2,http://www.ncbi.nlm.nih.gov/pubmed/13366975,
rxn00802,N-(L-Argininosuccinate) arginie-lyase,[c] : argsuc => arg-L + fum,,A2487,,,0,,,0,2,4.3.2.1,http://www.ncbi.nlm.nih.gov/pubmed/14910762,
rxn00806,L-Leucine:2-oxoglutarate aminotransferase,[c] : akg + leu-L <=> glu-L + 4mop,,A1863,,,1,,,0,2,2.6.1.6|2.6.1.42|2.6.1.67,http://www.ncbi.nlm.nih.gov/pubmed/4968655,
rxn00827,CTP:N-acylneuraminate cytidylyltransferase,[c] : ctp + acnam <=> ppi + CMP-N-acetylneuraminate,,does not have this gene,,,1,,,0,2,2.7.7.43,http://www.ncbi.nlm.nih.gov/pubmed/4288894,
rxn00830,Isopentenyl-diphosphate delta3-delta2-isomerase,[c] : ipdp <=> dmpp,,A1132,,,1,,,0,2,5.3.3.2,http://www.ncbi.nlm.nih.gov/pubmed/11158573,
rxn00831,Inosine 5'-monophosphate phosphohydrolase,[c] : h2o + imp => pi + h + ins,,A0492,,,0,,,0,2,3.1.3.5|3.1.3.5),http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn00832,"IMP 1,2-hydrolase (decyclizing)",[c] : h2o + imp <=> fprica,,A1691,,,1,,,0,2,3.5.4.10,http://www.ncbi.nlm.nih.gov/pubmed/13502325,
rxn00834,IMP:NAD+ oxidoreductase,[c] : h2o + nad + imp => nadh + h + xmp,,A0266,,,0,,,0,2,1.1.1.205,http://www.ncbi.nlm.nih.gov/pubmed/13428767,
rxn00838,IMP:L-aspartate ligase (GDP-forming),[c] : gtp + asp-L + imp => pi + gdp + 2 h + dcamp,,A0882,,,0,,,0,2,6.3.4.4,http://www.ncbi.nlm.nih.gov/pubmed/13644270,
rxn00839,ATP:nucleoside-diphosphate phosphatransferase,[c] : atp + dadp <=> adp + datp,,A0814|A1658,,,1,,,0,2,2.7.4.6,http://www.ncbi.nlm.nih.gov/pubmed/13211603,
rxn00851,D-AlanineD-Alanine ligase (ADP-forming),[c] : atp + 2 ala-D => adp + pi + h + alaala,,A1584,,,0,,,0,2,6.3.2.4,http://www.ncbi.nlm.nih.gov/pubmed/11699883,
rxn00858,Agmatine amidinohydrolase,[c] : h2o + agm => urea + ptrc,,A1109,,,0,,,0,2,3.5.3.11,http://www.ncbi.nlm.nih.gov/pubmed/4908780,
rxn00863,L-Histidinal:NAD+ oxidoreductase,[c] : h2o + nad + cbs_412 => nadh + 2 h + his-L,,A2049,,,0,,,0,2,1.1.1.23,http://www.ncbi.nlm.nih.gov/pubmed/13192138,
rxn00881,myo-Inositol 1-phosphate phosphahydrolase,[c] : h2o + mi1p-D => pi + h + inost,,A0623,,,0,,,0,2,3.1.3.25,http://www.ncbi.nlm.nih.gov/pubmed/4290245,
rxn00882,myo-Inositol 4-phosphate phosphahydrolase,[c] : h2o + mi4p-D => pi + h + inost,,A0623,,,0,,,0,2,3.1.3.25,http://www.ncbi.nlm.nih.gov/pubmed/4290245,
rxn00883,1D-myo-Inositol 3-phosphate phosphahydrolase,[c] : h2o + mi3p-D => pi + h + inost,,A0623,,,0,,,0,2,3.1.3.25,http://www.ncbi.nlm.nih.gov/pubmed/4290245,
rxn00898,"2,3-Dihydroxy-3-methylbutanoate hydro-lyase",[c] : 23dhmb => h2o + 3mob,,A0652,,,0,,,0,2,4.2.1.9,http://www.ncbi.nlm.nih.gov/pubmed/13962154,
rxn00902,3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase,[c] : h2o + accoa + 3mob => coa + h + 3c3hmp ,,???,,,0,,,0,2,2.3.3.13|4.1.3.12,,
rxn00907,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase",[c] : nadp + mlthf <=> nadph + methf,,A0889,,,1,,,0,2,1.5.1.5,http://www.ncbi.nlm.nih.gov/pubmed/13462986,
rxn00910,5-methyltetrahydrofolate:NADP+ oxidoreductase,[c] : nadph + h + mlthf => nadp + 5mthf ,,A0038,,,0,,,0,2,1.5.1.20|1.7.99.5,http://www.ncbi.nlm.nih.gov/pubmed/6975779,
rxn00912,"5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate",[c] : h2o + 3mob + mlthf => thf + 2dhp,,A1829,,,0,,,0,2,2.1.2.11,http://www.ncbi.nlm.nih.gov/pubmed/6463,
rxn00913,Guanosine 5'-monophosphate phosphohydrolase,[c] : h2o + gmp => pi + h + gsn,,A0492,,,0,,,0,2,3.1.3.5|3.1.3.5),http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn00917,Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming),[c] : h2o + atp + gln-L + xmp => ppi + amp + glu-L + h + gmp,,A1362,,,0,,,0,2,6.3.5.2,http://www.ncbi.nlm.nih.gov/pubmed/13563458,
rxn00929,L-Proline:NAD+ 5-oxidoreductase,[c] : nadh + h + 1pyr5c => nad + pro-L,,A1919,,,0,,,0,2,1.5.1.2,http://www.ncbi.nlm.nih.gov/pubmed/13681369,
rxn00931,L-Proline:NADP+ 5-oxidoreductase,[c] : nadph + h + 1pyr5c => nadp + pro-L,,A1919,,,0,,,0,2,1.5.1.2,http://www.ncbi.nlm.nih.gov/pubmed/13681369,
